group,tube_number,baffle_number,pitch,tube_length,plenum_length_1,plenum_length_2,baffle_gap,baffle_type,tube_layout,shell_passes,tube_bundle_diameter,tube_passes,design_year,pump_year,T_inh,T_inc,baffle_spacing_in,baffle_spacing_out,name,real_data
1,8,12,10,261,41,41,15.75,across_c,t,1,45,1,2017,2017,,,34,34,2017_A,
2,14,12,15,235.3,41,23,25.6,across_c,t,2,55,2,2017,2017,,,33,16,2017_B,
3,14,8,10,192,41,24,15.75,across_c,t,1,42,2,2017,2017,,,32,32,2017_C,
4,20,6,10,147,41,24,15.75,across_c,t,1,58,2,2017,2017,,,32,32,2017_D,
5,24,7,10,132,31,24,15.8,across_c,t,1,60,2,2017,2017,,,32,32,2017_E,
6,20,8,13,141,53,24,18.92,across_c,t,2,58,4,2018,2018,,,26.7,26.7,2018_A,
7,24,6,10,130,53,24,18.75,across_c,t,2,43.5,2,2018,2018,,,45,45,2018_B,
8,20,5,10,156,53,24,15,across_c,t,2,57,2,2018,2018,,,42,42,2018_C,
9,14,12,14,236,51,51,12,across_c,t,2,56,1,2022,2022,,,39.15,39.15,2022_A,
10,16,6,10,219,50,50,17.22,across_c,t,1,52,1,2022,2022,,,39.5,39.5,2022_B,
11,20,4,10,174,50,46.5,9.75,across_c,t,1,60,2,2022,2022,,,39,39,2022_C,
12,12,8,12,259,53,30,15.36,across_c,t,1,52,2,2022,2022,,,49,49,2022_D,
13,24,4,10,145,53,41,16.3,across_c,t,1,62.5,4,2022,2022,,,40,40,2022_E,
14,20,6,10,172,58,23,20,across_c,t,2,55,4,2022,2022,,,41.5,21.5,2022_F,
